School Year,Division Number,Division Name,School Number,School Name,Subject,Test Source,Pass Rate,Division Number,State School ID
2017-2018,004,Amelia County,210,Amelia County Middle,Mathematics,SOL,80.46,004,VA-004-0040210
2017-2018,004,Amelia County,210,Amelia County Middle,History and Social Science,SOL,89.23,004,VA-004-0040210
2017-2018,004,Amelia County,220,Amelia County Elementary,English:Reading,SOL,72.01,004,VA-004-0040220
2017-2018,004,Amelia County,220,Amelia County Elementary,Mathematics,SOL,75.09,004,VA-004-0040220
2017-2018,004,Amelia County,220,Amelia County Elementary,History and Social Science,SOL,78.2,004,VA-004-0040220
2017-2018,005,Amherst County,20,Monelison Middle,English:Writing,SOL,71.22,005,VA-005-0050020
2017-2018,005,Amherst County,20,Monelison Middle,Mathematics,SOL,73.73,005,VA-005-0050020
2017-2018,005,Amherst County,20,Monelison Middle,English:Reading,SOL,76.69,005,VA-005-0050020
2017-2018,005,Amherst County,20,Monelison Middle,History and Social Science,SOL,78.25,005,VA-005-0050020
2017-2018,005,Amherst County,20,Monelison Middle,Science,SOL,79.32,005,VA-005-0050020
2017-2018,005,Amherst County,500,Madison Heights Elementary,Mathematics,SOL,67.5,005,VA-005-0050500
2017-2018,005,Amherst County,500,Madison Heights Elementary,English:Reading,SOL,67.66,005,VA-005-0050500
2017-2018,005,Amherst County,500,Madison Heights Elementary,Science,SOL,78.13,005,VA-005-0050500
2017-2018,005,Amherst County,500,Madison Heights Elementary,History and Social Science,SOL,80.52,005,VA-005-0050500
2017-2018,005,Amherst County,670,Amherst Middle,English:Writing,SOL,72.73,005,VA-005-0050670
2017-2018,005,Amherst County,670,Amherst Middle,Mathematics,SOL,77.42,005,VA-005-0050670
2017-2018,005,Amherst County,670,Amherst Middle,English:Reading,SOL,84.46,005,VA-005-0050670
2017-2018,005,Amherst County,670,Amherst Middle,Science,SOL,84.75,005,VA-005-0050670
2017-2018,005,Amherst County,670,Amherst Middle,History and Social Science,SOL,87.71,005,VA-005-0050670
2017-2018,005,Amherst County,740,Temperance Elementary,English:Reading,SOL,87.72,005,VA-005-0050740
2017-2018,005,Amherst County,740,Temperance Elementary,Mathematics,SOL,92.98,005,VA-005-0050740
2017-2018,005,Amherst County,740,Temperance Elementary,Science,SOL,94.12,005,VA-005-0050740
2017-2018,005,Amherst County,740,Temperance Elementary,History and Social Science,SOL,100,005,VA-005-0050740
2017-2018,005,Amherst County,750,Amherst County High,Mathematics,SOL,64.69,005,VA-005-0050750
2017-2018,005,Amherst County,750,Amherst County High,History and Social Science,SOL,75,005,VA-005-0050750
2017-2018,005,Amherst County,750,Amherst County High,English:Writing,SOL,83.33,005,VA-005-0050750
2017-2018,005,Amherst County,750,Amherst County High,Science,SOL,84.54,005,VA-005-0050750
2017-2018,005,Amherst County,750,Amherst County High,English:Reading,SOL,86,005,VA-005-0050750
2017-2018,005,Amherst County,760,Elon Elementary,Mathematics,SOL,79.47,005,VA-005-0050760
2017-2018,005,Amherst County,760,Elon Elementary,English:Reading,SOL,84.77,005,VA-005-0050760
2017-2018,005,Amherst County,760,Elon Elementary,History and Social Science,SOL,86,005,VA-005-0050760
2017-2018,005,Amherst County,760,Elon Elementary,Science,SOL,88.46,005,VA-005-0050760
