ID,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
510384000000,0.01,0.04,0,0.17,0.25,0.43,0.11,0.11,0,0.01
510126000000,0,0.21,0,0.48,0.07,0.2,0.04,0.16,0.02,0.25
510126000000,0,0.12,0,0.09,0.01,0.68,0.09,0.13,0.01,0.08
510126000000,0,0.58,0.01,0.05,0.03,0.29,0.04,0.1,0.02,0.08
510126000000,0,0.13,0,0.17,0.27,0.38,0.05,0.14,0.01,0.26
510126000000,0.01,0.22,0,0.32,0.21,0.21,0.03,0.22,0.01,0.36
510126000000,0.01,0.03,0,0.23,0.23,0.46,0.05,0.14,0.03,0.15
510126000000,0,0.05,0,0.33,0.17,0.4,0.04,0.13,0.03,0.16
510126000000,0.01,0.07,0,0.4,0.28,0.2,0.04,0.16,0.02,0.19
510126000000,0,0.18,0,0.22,0.17,0.35,0.07,0.1,0.01,0.23
510126000000,0,0.19,0,0.08,0.04,0.64,0.05,0.18,0.02,0.15
510126000000,0,0.25,0,0.29,0.04,0.37,0.04,0.16,0.03,0.33
510126000000,0,0.26,0,0.11,0.04,0.53,0.06,0.15,0.05,0.05
510126000000,0.01,0.39,0,0.3,0.14,0.13,0.03,0.13,0,0.46
510126000000,0,0.15,0,0.47,0.11,0.25,0.02,0.17,0.01,0.3
510126000000,0,0.12,0,0.4,0.16,0.3,0.02,0.1,0,0.58
510126000000,0.01,0.06,0,0.75,0.09,0.08,0.01,0.09,0,0.59
510126000000,0.01,0.12,0,0.07,0.01,0.68,0.11,0.12,0.02,0.07
510126000000,0,0.3,0.01,0.17,0.08,0.39,0.05,0.12,0.01,0.23
510126000000,0,0.57,0,0.1,0.04,0.24,0.05,0.08,0.01,0.11
510126000000,0.01,0.1,0,0.54,0.23,0.1,0.02,0.12,0,0.51
510126000000,0,0.06,0,0.34,0.18,0.37,0.04,0.15,0.02,0.15
510126000000,0,0.15,0,0.21,0.26,0.31,0.06,0.13,0.02,0.22
510126000000,0,0.27,0,0.07,0.02,0.56,0.09,0.09,0.02,0.06
510126000000,0,0.08,0,0.11,0.18,0.54,0.09,0.09,0.01,0.12
510126000000,0,0.14,0,0.21,0.27,0.32,0.06,0.13,0.03,0.09
510126000000,0,0.11,0,0.5,0.09,0.26,0.03,0.1,0.01,0.46
510126000000,0,0.12,0,0.39,0.08,0.37,0.04,0.14,0.02,0.21
510126000000,0,0.12,0,0.4,0.08,0.34,0.05,0.19,0.03,0.25
510009000000,0,0.09,0,0.07,0.08,0.69,0.07,0.09,0.02,0.03
510009000000,0,0.02,0,0.12,0.14,0.66,0.05,0.12,0.03,0.06
510009000000,0,0.01,0,0.05,0.02,0.86,0.06,0.13,0.02,0.02
